what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.codehaus.groovy.eclipse.cstviewer,2.0.0.xx-20091023-1300-e35,"org.codehaus.groovy.eclipse.cstviewer",1319229983256
stopped,bundle,org.codehaus.groovy.eclipse.ui,2.0.0.xx-20091023-1300-e35,"org.codehaus.groovy.eclipse.ui",1319229983267
stopped,bundle,org.codehaus.groovy.eclipse.refactoring,2.0.0.xx-20091023-1300-e35,"org.codehaus.groovy.eclipse.refactoring",1319229983281
stopped,bundle,org.codehaus.groovy.eclipse.core,2.0.0.xx-20091023-1300-e35,"org.codehaus.groovy.eclipse.core",1319229983295
stopped,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1319229983296
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1319229983303
stopped,bundle,com.jdocs.eclipse.plugin,1.0.1,"com.jdocs.eclipse.plugin",1319229983316
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1319229983317
stopped,bundle,net.sf.jautodoc,1.5.0,"net.sf.jautodoc",1319229983317
